CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
25,006,3134,2636,Guadalupana la Piedra
25,006,3373,2570,El Álamo [Campestre]
25,006,1225,2797,Tierra y Libertad Uno
25,006,0198,2848,El Camalote
25,006,0133,2710,Las Arenitas
25,006,1044,2710,El Robalar
25,008,0409,0390,Colonia Buenos Aires
25,008,0072,0460,El Roble
25,008,0404,0437,Playa Ceuta
25,010,1341,0863,Colonia 12 de Agosto
25,011,0912,1040,Agua Blancona
25,011,0480,1040,La Entrada Vieja
25,011,0281,095A,El Toruno
25,011,0605,0998,La Cuerda
25,017,1450,1025,Colonia 6 de Mayo
25,017,0511,1025,Sanaria
25,017,0552,1025,El Macapule
25,011,0043,1002,Las Américas
25,011,0370,1040,Las Crucecitas
25,011,0358,0945,Ladrilleras de Ocoro
25,011,0106,1074,Cuesta de Arriba
25,011,0107,1074,La Cuestona
25,011,0251,1002,San Rafael (General Miguel Valle Dávalos)
25,011,0115,1040,La Chuparrosa
25,011,0095,1093,El Crucero
25,014,0013,0472,Copales
25,017,0847,092A,Naranjo Segundo
25,017,0581,092A,Campo Seis
25,011,0291,0964,El Zopilote
25,017,0141,1025,La Loma de Lugo
25,006,1684,2566,La Platanera (El Pizal)
25,018,0190,0556,Buenos Aires
25,018,0227,0541,Ciudad de los Niños
25,018,0003,0607,Aguapepito
25,007,0249,0590,El Vado (El Cerrito)
25,001,1331,1557,Topolobampo [Parque Industrial]
25,015,0003,0605,Álamo de los Montoya
25,003,0279,0835,Saca de Agua
25,005,0249,0435,El Portezuelo
25,006,0330,2871,La Estancia de Abajo
25,006,0578,2532,El Pozo
25,006,0421,4473,Jesús María
25,006,2282,2710,Comunidad Diego Valadez
25,006,1305,259A,Carboneras
25,006,1336,2814,La Chilla
25,006,0739,2706,Los Vasitos
25,006,0495,2693,Monte Verde de Villa (El Verde)
25,006,1063,2744,Las Milpas Número Dos (Las Milpas)
25,006,1403,280A,Huanacaxtle
25,006,0569,2852,Portaceli
25,006,0997,2941,Soyatita (Cruz Segunda)
25,006,0364,2903,Ejido Francisco Villa
25,006,0132,2424,La Anona
25,006,0397,2458,Las Higueras
25,007,0382,0603,Güillachapa
25,008,0020,0418,Ejido la Ventana (El Carrizo)
25,008,0164,0507,Celestino Gazca Villaseñor
25,010,0216,0793,Zozorique
25,010,0072,0789,Chinobampo
25,010,0119,0740,Llano de los Soto
25,010,0128,0914,El Mezquitalito
25,010,0051,0844,La Carrera
25,010,0033,0914,Buena Vista
25,010,0559,0990,Taxtes Viejos (La Cuera)
25,001,0703,1561,Cinco de Mayo
25,010,0207,1005,Tres Garantías
25,017,0244,0915,Ruiz Cortines Número Tres
25,017,0216,0987,La Presita
25,011,0168,0979,Miguel Alemán
25,017,0638,103A,Alfredo V. Bonfil (Siete Ejidos)
25,011,0085,1089,Casa Blanca
25,011,0120,1040,El Dorado Número Uno
25,011,0111,1055,Chino de los López
25,011,0963,1002,Colonia Paul
25,012,1185,2120,La Mora Escarbada
25,012,1189,2120,El Vainillo
25,012,0210,1160,El Habal
25,012,0483,1207,Las Higueras del Conchi
25,012,0197,1211,Los Gavilanes
25,013,0132,0441,Higuera de los Vega
25,003,0856,077A,San Nicolás del Sitio (Sitio de Arriba)
25,013,0157,0422,Los Letreros
25,015,0008,061A,Caitime
25,015,0043,0624,Terrero de los Guerrero
25,003,0845,0820,Jurisdicción de Arriba
25,013,0256,0579,Potrero de los Sánchez (Estación Techa)
